"k_4","Subtitles","k_5","k_6","Film","Rank","Title","n_days","ID","Critic.Rating","Critic.Votes","User.Votes","Budget","Star.Power","User.Rating","Runtime","Netflix.Original.dummy.","Adventure"," Drama"," Family"," History"," Romance","Drama"," Fantasy"," Sci-Fi","Documentary","Action"," Adventure"," Thriller"," Crime"," Mystery","Animation"," Comedy"," Musical","Crime"," Horror","Thriller"," Western","Comedy"," War"," Sport"," Music"," Reality-TV","Fantasy","Horror"," Biography"," Action","Biography","Romance","Mystery","Family"
"4","Subtitles/subtitles_tt10127708.txt","2","4","Films (Non-English)",4,"Valley of the Dead",14,10127708,52,35,48,0,14,5.8,101,"1",0,0,0,0,0,0,1,0,0,1,1,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
"4","Subtitles/subtitles_tt8367814.txt","2","4","Films (English)",5,"The Gentlemen",7,8367814,51,300,1700,2.2e+07,25,7.8,113,"1",0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"1","Subtitles/subtitles_tt2771200.txt","3","2","Films (Non-English)",10,"Beauty and the Beast",28,2771200,65,526,1200,1.6e+08,23,7.1,129,"1",1,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"1","Subtitles/subtitles_tt1259571.txt","5","3","Films (English)",10,"The Twilight Saga: New Moon",14,1259571,44,298,795,5e+07,37,4.7,130,"1",1,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"4","Subtitles/subtitles_tt3501112.txt","2","4","Films (English)",3,"Security",14,3501112,52,43,136,1.5e+07,9,5.7,88,"1",0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"2","Subtitles/subtitles_tt0120647.txt","1","6","Films (English)",9,"Deep Impact",7,120647,40,91,622,7.5e+07,41,6.2,120,"1",0,1,0,0,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"2","Subtitles/subtitles_tt21837726.txt","1","6","Films (English)",9,"The Redeem Team",7,21837726,76,12,11,0,22,7.5,97,"1",0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
"2","Subtitles/subtitles_tt13456318.txt","1","6","Films (English)",4,"Persuasion",21,13456318,42,92,680,0,9,5.7,108,"1",0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"2","Subtitles/subtitles_tt8829830.txt","1","6","Films (English)",8,"Fatale",7,8829830,42,62,238,0,16,5.4,102,"1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"1","Subtitles/subtitles_tt2990140.txt","3","2","Films (English)",6,"The Christmas Chronicles",28,2990140,52,88,742,0,21,7,104,"1",1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"4","Subtitles/subtitles_tt13782052.txt","2","4","Films (Non-English)",5,"1000 Miles from Christmas",14,13782052,52,11,13,0,12,5.8,102,"1",0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
"4","Subtitles/subtitles_tt14700948.txt","2","4","Films (Non-English)",7,"Friendzone",35,14700948,52,11,25,0,1,5.9,88,"1",0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
"4","Subtitles/subtitles_tt12748300.txt","2","4","Films (Non-English)",5,"Forever Rich",7,12748300,52,14,18,0,9,5.5,89,"1",0,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0
"1","Subtitles/subtitles_tt1433108.txt","5","3","Films (English)",8,"Faster",14,1433108,44,190,224,2.4e+07,25,6.4,98,"1",0,1,0,0,0,0,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"2","Subtitles/subtitles_tt7737528.txt","1","6","Films (English)",8,"Kate",28,7737528,47,130,589,0,12,6.2,106,"1",0,1,0,0,0,0,0,0,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"2","Subtitles/subtitles_tt0790724.txt","1","6","Films (English)",9,"Jack Reacher",7,790724,50,415,636,6e+07,31,7,130,"1",0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
